publisher	year	university	total	cost
Elsevier	2010	University of Aberdeen	7799674.85	753161.75
Elsevier	2010	Abertay University	158525.13	0.0
Elsevier	2010	Aberystwyth University	3429443.4	247614.97
Elsevier	2010	Anglia Ruskin University	1554538.0	92060.0
Elsevier	2010	Arts University Bournemouth	35277.24	0.0
Elsevier	2010	Aston University	1313204.14	245171.0
Elsevier	2010	Bangor University	3733773.28	248926.18
Elsevier	2010	University of Bath	6288549.33	519062.12
Elsevier	2010	Bath Spa University	53002.86	0.0
Elsevier	2010	University of Bedfordshire	1509432.31	69648.9
Elsevier	2010	Birkbeck, University of London	1665975.0	97781.0
Elsevier	2010	University of Birmingham	10094024.95	798860.49
Elsevier	2010	Birmingham City University	559587.33	62962.0
Elsevier	2010	Bishop Grosseteste University	207036.0	0.0
Elsevier	2010	University of Bolton	987137.28	53235.75
Elsevier	2010	Bournemouth University	1955288.0	127782.0
Elsevier	2010	University of Brighton	1997605.41	126041.13
Elsevier	2010	University of Bristol	11127190.09	939882.14
Elsevier	2010	Brunel University	3752380.03	283316.16
Elsevier	2010	Buckinghamshire New University	359252.0	31270.0
Elsevier	2010	University of Cambridge	13893689.05	1277940.4
Elsevier	2010	Canterbury Christ Church University	1502271.56	37548.65
Elsevier	2010	Cardiff University	9426730.95	805524.76
Elsevier	2010	Cardiff Metropolitan University	1272353.2	68964.79
Elsevier	2010	University of Central Lancashire	2303359.83	251584.65
Elsevier	2010	Central School of Speech and Drama	3813.39	724.0
Elsevier	2010	University of Chester	235881.0	44904.0
Elsevier	2010	University of Chichester	253687.69	2450.64
Elsevier	2010	City University London	2461142.1	164975.54
Elsevier	2010	Courtauld Institute of Art	10307.27	0.0
Elsevier	2010	Coventry University	1787323.58	221247.98
Elsevier	2010	Cranfield University	2677876.22	323067.43
Elsevier	2010	University of Cumbria	441828.01	46258.83
Elsevier	2010	De Montfort University	1712913.31	144176.7
Elsevier	2010	University of Derby	987335.2	100554.38
Elsevier	2010	University of Dundee	4727771.51	368639.46
Elsevier	2010	Durham University	6648315.01	460360.23
Elsevier	2010	University of East Anglia	5242999.3	386468.94
Elsevier	2010	University of Edinburgh	9501214.15	830579.98
Elsevier	2010	Edinburgh Napier University	1771566.26	152216.0
Elsevier	2010	University of Exeter	4118935.41	221807.48
Elsevier	2010	Falmouth University	160054.73	0.0
Elsevier	2010	University of Glasgow	9830218.57	756502.0
Elsevier	2010	Glasgow Caledonian University	2819814.47	206658.8
Elsevier	2010	University of Gloucestershire	279285.8	48951.61
Elsevier	2010	Glyndŵr University	263659.0	14400.0
Elsevier	2010	Goldsmiths, University of London	897725.19	37332.87
Elsevier	2010	University of Greenwich	1039890.57	195938.48
Elsevier	2010	Harper Adams University	623866.99	59899.0
Elsevier	2010	Heriot-Watt University	2842128.23	385691.0
Elsevier	2010	Heythrop College	8760.0	0.0
Elsevier	2010	University of Huddersfield	577676.67	103659.36
Elsevier	2010	University of Hull	3661245.7	239659.3
Elsevier	2010	Institute of Cancer Research	1058332.0	163504.3
Elsevier	2010	Institute of Education, University of London	1073116.0	27098.0
Elsevier	2010	Keele University	2048483.59	167381.24
